BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
TALALA,Fruits,2014,2,7,Mango,"Gir Somnath",nan,nan,HORTICULTURE,GUJARAT,"ask about thrips","i sugested dimethoat",20.9298,70.7628
TALALA,Fruits,2014,2,17,Mango,"Gir Somnath",nan,nan,HORTICULTURE,GUJARAT,"ask about thrips","i suggested trizofos 300lit water",20.9298,70.7628
INDRI,Fruits,2014,4,20,Mango,KARNAL,"Plant Protection",JAYAD,HORTICULTURE,HARYANA,"Information regarding how to control thrips in mango plant ","Information regarding how to control thrips in mango plant spray rogor  3 mllitre of water solution",29.7256,76.9107
NILOKHERI,Fruits,2014,4,27,Mango,KARNAL,"Plant Protection",JAYAD,HORTICULTURE,HARYANA,"how to control thrips in mango crops","how to control thrips in mango cropsspray    2 ml   conphidor   in  1 litre   water",29.7256,76.9107
INDORA,Fruits,2014,5,13,Mango,KANGRA,"Plant Protection",JAYAD,HORTICULTURE,"HIMACHAL PRADESH","How to control thrips in mango plant ","Spray with Rogor  200 ml 200 liter of water ",32.0769,76.2986
PANCHRUKHI,Fruits,2014,5,17,Mango,KANGRA,"Plant Protection",JAYAD,HORTICULTURE,"HIMACHAL PRADESH","Hoe to control Thrips in mango palnt ","Spray with Monocrotofos  200 ml 200 liter of water ",32.0769,76.2986
HAROLI,Fruits,2014,5,20,Mango,UNA,"Plant Protection",JAYAD,HORTICULTURE,"HIMACHAL PRADESH","How to control Thrips in mango plant ","Spray with Monocrotofos  100 ml 100 liter of water ",31.5835,76.2351
KANAKAPURA,Fruits,2014,3,27,Mango,"BANGALORE RURAL","Plant Protection",nan,HORTICULTURE,KARNATAKA,"mango thrips","spray dimethoate 2mlliter",13.0011,77.3361
MURBAD,Fruits,2014,2,9,Mango,THANE,"Plant Protection",nan,HORTICULTURE,MAHARASHTRA,thrips,"232523792344238123472367233723792352 15 2350236723542368152354236723352352 23462366233923812351236623502343238123512375 2328237523142344 234723572366235223392368 23252352236623572368",19.1943,72.9702
RATNAGIRI,Fruits,2014,1,19,Mango,RATNAGIRI,"Plant Protection",RABI,HORTICULTURE,MAHARASHTRA,"thrips ","235223672332237523062335 20 2350236723542367 15 2354236723352352 2346236623392381235123662340 235023672360235523702344 2347235723662352236623572375",17.2826,73.457
